in s,C1 in V,C2 in V
-3.7189596E-02,2.1380175E+00,6.25003815E-01
-3.7189220E-02,2.1380175E+00,6.25003815E-01
-3.7188844E-02,2.1380175E+00,6.25003815E-01
-3.7188468E-02,2.1380175E+00,6.25003815E-01
-3.7188092E-02,2.1380175E+00,6.25003815E-01
-3.7187716E-02,2.1380175E+00,6.25003815E-01
-3.7187340E-02,2.1380175E+00,6.25003815E-01
-3.7186964E-02,2.1380175E+00,6.25003815E-01
-3.7186588E-02,2.1380175E+00,6.25003815E-01
-3.7186212E-02,2.1380175E+00,6.25003815E-01
-3.7185836E-02,2.1380175E+00,6.25003815E-01
-3.7185460E-02,2.1380175E+00,6.25003815E-01
-3.7185084E-02,2.1380175E+00,6.25003815E-01
-3.7184708E-02,2.1380175E+00,6.25003815E-01
-3.7184332E-02,2.1380175E+00,6.25003815E-01
-3.7183956E-02,2.1380175E+00,6.25003815E-01
-3.7183580E-02,2.1380175E+00,6.25003815E-01
-3.7183204E-02,2.1380175E+00,6.25003815E-01
-3.7182828E-02,2.1380175E+00,6.25003815E-01
-3.7182452E-02,2.1380175E+00,6.25003815E-01
-3.7182076E-02,2.1380175E+00,6.25003815E-01
-3.7181700E-02,2.1380175E+00,6.25003815E-01
-3.7181324E-02,2.1380175E+00,6.25003815E-01
-3.7180948E-02,2.1380175E+00,6.25003815E-01
-3.7180572E-02,2.1380175E+00,6.25003815E-01
-3.7180196E-02,2.1380175E+00,6.25003815E-01
-3.7179820E-02,2.1380175E+00,6.25003815E-01
-3.7179444E-02,2.1380175E+00,6.25003815E-01
-3.7179068E-02,2.1380175E+00,6.25003815E-01
-3.7178692E-02,2.1380175E+00,6.25003815E-01
-3.7178316E-02,2.1380175E+00,6.25003815E-01
-3.7177940E-02,2.1380175E+00,6.25003815E-01
-3.7177564E-02,2.1380175E+00,6.25003815E-01
-3.7177188E-02,2.1380175E+00,6.25003815E-01
-3.7176812E-02,2.1380175E+00,6.25003815E-01
-3.7176436E-02,2.1380175E+00,6.25003815E-01
-3.7176060E-02,2.1380175E+00,6.25003815E-01
-3.7175684E-02,2.1380175E+00,6.25003815E-01
-3.7175308E-02,2.1380175E+00,6.25003815E-01
-3.7174932E-02,2.1380175E+00,6.25003815E-01
-3.7174556E-02,2.1380175E+00,6.25003815E-01
-3.7174180E-02,2.1380175E+00,6.25003815E-01
-3.7173804E-02,2.1380175E+00,6.25003815E-01
-3.7173428E-02,2.1380175E+00,6.25003815E-01
-3.7173052E-02,2.1380175E+00,6.25003815E-01
-3.7172676E-02,2.1380175E+00,6.25003815E-01
-3.7172300E-02,2.1380175E+00,6.25003815E-01
-3.7171924E-02,2.1380175E+00,6.25003815E-01
-3.7171548E-02,2.1380175E+00,6.25003815E-01
-3.7171172E-02,2.1380175E+00,6.25003815E-01
-3.7170796E-02,2.1380175E+00,6.25003815E-01
-3.7170420E-02,2.1380175E+00,6.25003815E-01
-3.7170044E-02,2.1380175E+00,6.25003815E-01
-3.7169668E-02,2.1380175E+00,6.25003815E-01
-3.7169292E-02,2.1380175E+00,6.25003815E-01
-3.7168916E-02,2.1380175E+00,6.25003815E-01
-3.7168540E-02,2.1380175E+00,6.25003815E-01
-3.7168164E-02,2.1380175E+00,6.25003815E-01
-3.7167788E-02,2.1380175E+00,6.25003815E-01
-3.7167412E-02,2.1380175E+00,6.25003815E-01
-3.7167036E-02,2.1380175E+00,6.25003815E-01
-3.7166660E-02,2.1380175E+00,6.25003815E-01
-3.7166284E-02,2.1380175E+00,6.25003815E-01
-3.7165908E-02,2.1380175E+00,6.25003815E-01
-3.7165532E-02,2.1380175E+00,6.25003815E-01
-3.7165156E-02,2.1380175E+00,6.25003815E-01
-3.7164780E-02,2.1380175E+00,6.25003815E-01
-3.7164404E-02,2.1380175E+00,6.25003815E-01
-3.7164028E-02,2.1380175E+00,6.25003815E-01
-3.7163652E-02,2.1380175E+00,6.25003815E-01
-3.7163276E-02,2.1380175E+00,6.25003815E-01
-3.7162900E-02,2.1380175E+00,6.25003815E-01
-3.7162524E-02,2.1380175E+00,6.25003815E-01
-3.7162148E-02,2.1380175E+00,6.25003815E-01
-3.7161772E-02,2.1380175E+00,6.25003815E-01
-3.7161396E-02,2.1380175E+00,6.25003815E-01
-3.7161020E-02,2.1380175E+00,6.25003815E-01
-3.7160644E-02,2.1380175E+00,6.25003815E-01
-3.7160268E-02,2.1380175E+00,6.25003815E-01
-3.7159892E-02,2.1380175E+00,6.25003815E-01
-3.7159516E-02,2.1380175E+00,6.25003815E-01
-3.7159140E-02,2.1380175E+00,6.25003815E-01
-3.7158764E-02,2.1380175E+00,6.25003815E-01
-3.7158388E-02,2.1380175E+00,6.25003815E-01
-3.7158012E-02,2.1380175E+00,6.25003815E-01
-3.7157636E-02,2.1380175E+00,6.25003815E-01
-3.7157260E-02,2.1380175E+00,6.25003815E-01
-3.7156884E-02,2.1380175E+00,6.25003815E-01
-3.7156508E-02,2.1380175E+00,6.25003815E-01
-3.7156132E-02,2.1380175E+00,6.25003815E-01
-3.7155756E-02,2.1380175E+00,6.25003815E-01
-3.7155380E-02,2.1380175E+00,6.25003815E-01
-3.7155004E-02,2.1380175E+00,6.25003815E-01
-3.7154628E-02,2.1380175E+00,6.25003815E-01
-3.7154252E-02,2.1380175E+00,6.25003815E-01
-3.7153876E-02,2.1380175E+00,6.25003815E-01
-3.7153500E-02,2.1380175E+00,6.25003815E-01
-3.7153124E-02,2.1380175E+00,6.25003815E-01
-3.7152748E-02,2.1380175E+00,6.25003815E-01
-3.7152372E-02,2.1380175E+00,6.25003815E-01
-3.7151996E-02,2.1380175E+00,6.25003815E-01
-3.7151620E-02,2.1380175E+00,6.25003815E-01
-3.7151244E-02,2.1380175E+00,6.25003815E-01
-3.7150868E-02,2.1380175E+00,6.25003815E-01
-3.7150492E-02,2.1380175E+00,6.25003815E-01
-3.7150116E-02,2.1380175E+00,6.25003815E-01
-3.7149740E-02,2.1380175E+00,6.25003815E-01
-3.7149364E-02,2.1380175E+00,6.25003815E-01
-3.7148988E-02,2.1380175E+00,6.25003815E-01
-3.7148612E-02,2.1380175E+00,6.25003815E-01
-3.7148236E-02,2.1380175E+00,6.25003815E-01
-3.7147860E-02,2.1380175E+00,6.25003815E-01
-3.7147484E-02,2.1380175E+00,6.25003815E-01
-3.7147108E-02,2.1380175E+00,6.25003815E-01
-3.7146732E-02,2.1380175E+00,6.25003815E-01
-3.7146356E-02,2.1380175E+00,6.25003815E-01
-3.7145980E-02,2.1380175E+00,6.25003815E-01
-3.7145604E-02,2.1380175E+00,6.25003815E-01
-3.7145228E-02,2.1380175E+00,6.25003815E-01
-3.7144852E-02,2.1380175E+00,6.25003815E-01
-3.7144476E-02,2.1380175E+00,6.25003815E-01
-3.7144100E-02,2.1380175E+00,6.25003815E-01
-3.7143724E-02,2.1380175E+00,6.25003815E-01
-3.7143348E-02,2.1380175E+00,6.25003815E-01
-3.7142972E-02,2.1380175E+00,6.25003815E-01
-3.7142596E-02,2.1380175E+00,6.25003815E-01
-3.7142220E-02,2.1380175E+00,6.25003815E-01
-3.7141844E-02,2.1380175E+00,6.25003815E-01
-3.7141468E-02,2.1380175E+00,6.25003815E-01
-3.7141092E-02,2.1380175E+00,6.25003815E-01
-3.7140716E-02,2.1380175E+00,6.25003815E-01
-3.7140340E-02,2.1380175E+00,6.25003815E-01
-3.7139964E-02,2.1380175E+00,6.25003815E-01
-3.7139588E-02,2.1380175E+00,6.25003815E-01
-3.7139212E-02,2.1380175E+00,6.25003815E-01
-3.7138836E-02,2.1380175E+00,6.25003815E-01
-3.7138460E-02,2.1380175E+00,6.25003815E-01
-3.7138084E-02,2.1380175E+00,6.25003815E-01
-3.7137708E-02,2.1380175E+00,6.25003815E-01
-3.7137332E-02,2.1380175E+00,6.25003815E-01
-3.7136956E-02,2.1380175E+00,6.25003815E-01
-3.7136580E-02,2.1380175E+00,6.25003815E-01
-3.7136204E-02,2.1380175E+00,6.25003815E-01
-3.7135828E-02,2.1380175E+00,6.25003815E-01
-3.7135452E-02,2.1380175E+00,6.25003815E-01
-3.7135076E-02,2.1380175E+00,6.25003815E-01
-3.7134700E-02,2.1380175E+00,6.25003815E-01
-3.7134324E-02,2.1380175E+00,6.25003815E-01
-3.7133948E-02,2.1380175E+00,6.25003815E-01
-3.7133572E-02,2.1380175E+00,6.25003815E-01
-3.7133196E-02,2.1380175E+00,6.25003815E-01
-3.7132820E-02,2.1380175E+00,6.25003815E-01
-3.7132444E-02,2.1380175E+00,6.25003815E-01
-3.7132068E-02,2.1380175E+00,6.25003815E-01
-3.7131692E-02,2.1380175E+00,6.25003815E-01
-3.7131316E-02,2.1380175E+00,6.25003815E-01
-3.7130940E-02,2.1380175E+00,6.25003815E-01
-3.7130564E-02,2.1380175E+00,6.25003815E-01
-3.7130188E-02,2.1380175E+00,6.25003815E-01
-3.7129812E-02,2.1380175E+00,6.25003815E-01
-3.7129436E-02,2.1380175E+00,6.25003815E-01
-3.7129060E-02,2.1380175E+00,6.25003815E-01
